City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Guider,CM,78.94,overcast clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
11,Yar-Sale,RU,66.85,clear sky,66.8333,70.8333,Yalemd
13,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
15,Victoria,HK,84.96,overcast clouds,22.2855,114.1577,Mini Central
16,Ureki,GE,75.16,overcast clouds,41.9956,41.7786,Hotel Ritsa
18,Atuona,PF,77.07,overcast clouds,-9.8,-139.0333,Villa Enata
19,Rikitea,PF,71.94,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
28,Lagoa,PT,73.62,light rain,39.05,-27.9833,Casa Das Faias
30,Royan,FR,82.78,broken clouds,45.6285,-1.0281,CERISE Royan - Le Grand Hôtel de la Plage
32,Asuncion,PY,65.64,broken clouds,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
34,Guilin,CN,77.11,broken clouds,25.2819,110.2864,Grand 0773 Hotel
35,Peniche,PT,73.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
38,Hithadhoo,MV,82.13,overcast clouds,-0.6,73.0833,Scoop Guest House
41,Sfantu Gheorghe,RO,66.81,clear sky,45.8667,25.7833,Hotel Park
44,Tongren,CN,77.31,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
45,Sal Rei,CV,84.4,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
50,Tautira,PF,74.97,light rain,-17.7333,-149.15,Pension Oaoa
51,Pisco,PE,66.25,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
52,Faanui,PF,76.78,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
54,Caravelas,BR,77.16,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
55,Torbay,CA,78.89,smoke,47.6666,-52.7314,Gallows Cove
60,Mareeba,AU,68.72,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
62,Guaratinga,BR,75.9,overcast clouds,-16.5667,-39.5667,Hotel Caraíva
65,Jiayuguan,CN,70.43,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
67,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Asau,RO,67.28,clear sky,46.4333,26.4,Casa Mika Ciobanus
72,San Quintin,MX,74.52,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
75,Koindu,GN,71.71,light rain,8.4386,-10.3253,
76,Sao Filipe,CV,79.83,light rain,14.8961,-24.4956,Hotel Xaguate
78,Miles City,US,70.77,few clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
79,Odweyne,SO,76.68,broken clouds,9.4092,45.064,Eng Hiirey House
80,Basco,PH,84.56,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
82,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
85,Hoa Binh,VN,74.62,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
86,Kavaratti,IN,80.8,overcast clouds,10.5669,72.642,Green leaf
87,Sirsi,IN,69.98,light rain,14.6167,74.85,Tripvillas @ Sapna Yatri Nivas
88,Nong Khai,TH,78.3,overcast clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
90,Veraval,IN,81.37,overcast clouds,20.9,70.3667,Lords Inn Somnath
92,Jimeta,NG,78.76,broken clouds,9.2833,12.4667,Yola International Hotel
99,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
102,Saint-Philippe,RE,68.22,few clouds,-21.3585,55.7679,Le four à pain
104,Itarema,BR,82.85,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
111,Moindou,NC,70.56,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
113,Palauig,PH,77.92,overcast clouds,15.435,119.9045,Villa Raphael Resort
114,Trairi,BR,82.67,clear sky,-3.2778,-39.2689,janelas do mar
116,Saurimo,AO,69.06,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
117,Kununurra,AU,67.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
