City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,57.51,68,100,17.43,overcast clouds
1,South Venice,US,27.0531,-82.4243,95.07,56,40,12.66,scattered clouds
2,Saskylakh,RU,71.9167,114.0833,46.49,73,94,4.99,overcast clouds
3,Bluff,NZ,-46.6,168.3333,34.81,68,45,16.87,scattered clouds
4,Hobart,AU,-42.8794,147.3294,38.05,94,5,3.44,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,37.51,81,20,13.8,few clouds
6,Kodiak,US,57.79,-152.4072,60.31,55,20,4.61,few clouds
7,Albany,US,42.6001,-73.9662,91.4,69,96,7.18,overcast clouds
8,Hilo,US,19.7297,-155.09,86.29,68,75,5.01,broken clouds
9,Guider,CM,9.9342,13.9486,78.94,74,100,4.27,overcast clouds
10,Flinders,AU,-34.5833,150.8552,49.37,79,9,11.9,clear sky
11,Yar-Sale,RU,66.8333,70.8333,66.85,74,0,9.73,clear sky
12,Khatanga,RU,71.9667,102.5,47.44,87,16,6.93,few clouds
13,Avarua,CK,-21.2078,-159.775,71.65,68,75,11.5,broken clouds
14,Berlevag,NO,70.8578,29.0864,49.95,81,75,19.57,broken clouds
15,Victoria,HK,22.2855,114.1577,84.96,88,100,11.01,overcast clouds
16,Ureki,GE,41.9956,41.7786,75.16,81,95,3.67,overcast clouds
17,Edd,ER,13.9297,41.6925,87.49,67,100,5.88,light rain
18,Atuona,PF,-9.8,-139.0333,77.07,68,86,16.08,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,71.94,61,100,31.25,overcast clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,51.1,82,75,6.91,broken clouds
21,Avera,US,33.194,-82.5271,87.39,45,87,5.44,overcast clouds
22,Saravan,AM,39.7196,45.6483,60.82,82,5,8.12,clear sky
23,Ulaanbaatar,MN,47.9077,106.8832,50.13,81,20,2.24,few clouds
24,Vaini,TO,-21.2,-175.2,73.56,100,20,4.61,few clouds
25,Cape Town,ZA,-33.9258,18.4232,59.11,83,20,8.05,few clouds
26,Arlit,NE,18.7369,7.3853,106.11,12,100,4.41,overcast clouds
27,Bredasdorp,ZA,-34.5322,20.0403,53.37,94,0,7.52,clear sky
28,Lagoa,PT,39.05,-27.9833,73.62,83,96,16.4,light rain
29,Tuatapere,NZ,-46.1333,167.6833,34.45,88,32,8.39,scattered clouds
30,Royan,FR,45.6285,-1.0281,82.78,24,59,12.62,broken clouds
31,Ushuaia,AR,-54.8,-68.3,44.26,49,0,4.61,clear sky
32,Asuncion,PY,-25.3007,-57.6359,65.64,72,75,9.22,broken clouds
33,Sitka,US,57.0531,-135.33,57.09,82,100,6.91,overcast clouds
34,Guilin,CN,25.2819,110.2864,77.11,87,67,0.65,broken clouds
35,Peniche,PT,39.3558,-9.3811,73.29,82,0,4.9,clear sky
36,Tiksi,RU,71.6872,128.8694,45.91,92,100,3.22,overcast clouds
37,Noyabrsk,RU,63.1994,75.4507,60.6,64,100,6.04,overcast clouds
38,Hithadhoo,MV,-0.6,73.0833,82.13,70,100,3.13,overcast clouds
39,Chuy,UY,-33.6971,-53.4616,52.65,75,1,12.3,clear sky
40,Tikhvin,RU,59.6451,33.5294,54.84,78,0,3.31,clear sky
41,Sfantu Gheorghe,RO,45.8667,25.7833,66.81,81,7,4.59,clear sky
42,Mount Isa,AU,-20.7333,139.5,56.97,33,0,6.91,clear sky
43,Saint-Raphael,HT,19.4333,-72.2,85.24,64,64,14.41,broken clouds
44,Tongren,CN,27.7172,109.1853,77.31,85,100,3.91,overcast clouds
45,Sal Rei,CV,16.1833,-22.9167,84.4,79,75,9.22,broken clouds
46,Ust-Nera,RU,64.5667,143.2,64.53,68,99,5.21,overcast clouds
47,Krasnoselkup,RU,65.7,82.4667,55.42,86,100,6.31,overcast clouds
48,Hami,CN,42.8,93.45,86.04,24,72,13.76,broken clouds
49,Batemans Bay,AU,-35.7167,150.1833,50.09,89,8,5.48,clear sky
50,Tautira,PF,-17.7333,-149.15,74.97,73,95,23.29,light rain
51,Pisco,PE,-13.7,-76.2167,66.25,68,75,8.05,broken clouds
52,Faanui,PF,-16.4833,-151.75,76.78,71,85,25.52,overcast clouds
53,San Clemente,US,33.427,-117.612,105.1,58,58,4.0,broken clouds
54,Caravelas,BR,-17.7125,-39.2481,77.16,72,1,10.22,clear sky
55,Torbay,CA,47.6666,-52.7314,78.89,72,75,23.02,smoke
56,Tilichiki,RU,60.4667,166.1,54.43,61,100,4.99,overcast clouds
57,Lake City,US,30.1897,-82.6393,91.78,37,94,2.55,overcast clouds
58,Mataura,NZ,-46.1927,168.8643,34.48,90,11,6.06,few clouds
59,Barrow,US,71.2906,-156.7887,43.21,74,99,6.58,overcast clouds
60,Mareeba,AU,-17.0,145.4333,68.72,91,95,2.62,overcast clouds
61,Port Alfred,ZA,-33.5906,26.891,61.18,97,98,7.0,light rain
62,Guaratinga,BR,-16.5667,-39.5667,75.9,73,98,9.06,overcast clouds
63,Puerto Quijarro,BO,-17.7833,-57.7667,94.35,32,100,6.42,overcast clouds
64,Ancud,CL,-41.8697,-73.8203,49.23,60,8,0.81,clear sky
65,Jiayuguan,CN,39.8167,98.3,70.43,49,10,5.39,clear sky
66,Launceston,AU,-41.45,147.1667,37.35,92,27,6.91,scattered clouds
67,Mahebourg,MU,-20.4081,57.7,68.29,83,40,3.44,scattered clouds
68,Provideniya,RU,64.3833,-173.3,48.33,87,85,5.14,overcast clouds
69,Hermanus,ZA,-34.4187,19.2345,59.0,83,90,3.94,overcast clouds
70,Asau,RO,46.4333,26.4,67.28,90,4,4.23,clear sky
71,Vostok,RU,46.4856,135.8833,63.66,99,100,3.53,moderate rain
72,San Quintin,MX,30.4833,-115.95,74.52,77,100,3.76,overcast clouds
73,Brigantine,US,39.4101,-74.3646,96.04,71,34,16.67,scattered clouds
74,Havoysund,NO,70.9963,24.6622,50.23,85,100,17.43,light rain
75,Koindu,GN,8.4386,-10.3253,71.71,94,12,2.08,light rain
76,Sao Filipe,CV,14.8961,-24.4956,79.83,82,90,2.01,light rain
77,Jaen,ES,38.0,-3.5,90.01,16,0,10.27,clear sky
78,Miles City,US,46.4083,-105.8406,70.77,60,20,0.0,few clouds
79,Odweyne,SO,9.4092,45.064,76.68,39,77,20.85,broken clouds
80,Basco,PH,20.4487,121.9702,84.56,76,100,17.36,overcast clouds
81,Kostomuksha,RU,64.571,30.5767,50.72,82,98,6.71,overcast clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,61,7.0,broken clouds
83,Port Hedland,AU,-20.3167,118.5667,53.65,82,0,5.75,clear sky
84,Okhotsk,RU,59.3833,143.3,54.45,92,100,8.68,light rain
85,Hoa Binh,VN,20.8133,105.3383,74.62,97,100,2.73,overcast clouds
86,Kavaratti,IN,10.5669,72.642,80.8,83,100,23.67,overcast clouds
87,Sirsi,IN,14.6167,74.85,69.98,96,100,11.74,light rain
88,Nong Khai,TH,17.9167,103.0833,78.3,98,100,4.9,overcast clouds
89,Chokurdakh,RU,70.6333,147.9167,46.62,53,100,13.71,overcast clouds
90,Veraval,IN,20.9,70.3667,81.37,89,100,14.2,overcast clouds
91,Sayat,TM,38.7839,63.8803,85.87,23,0,9.73,clear sky
92,Jimeta,NG,9.2833,12.4667,78.76,81,52,3.4,broken clouds
93,Coihaique,CL,-45.5752,-72.0662,40.95,60,75,4.61,broken clouds
94,Carnarvon,AU,-24.8667,113.6333,63.27,73,0,12.5,clear sky
95,Colesberg,ZA,-30.72,25.0972,55.15,24,0,18.39,clear sky
96,East London,ZA,-33.0153,27.9116,63.54,94,100,19.57,light intensity drizzle
97,Bystryy Istok,RU,52.371,84.3873,59.58,58,50,4.05,scattered clouds
98,Roros,NO,62.5747,11.3842,55.24,62,0,2.3,clear sky
99,Vila Velha,BR,-20.3297,-40.2925,82.35,77,0,17.27,clear sky
100,Polyarnyye Zori,RU,67.3661,32.4981,47.86,77,30,7.4,scattered clouds
101,Henties Bay,NA,-22.116,14.2845,56.16,88,11,8.37,few clouds
102,Saint-Philippe,RE,-21.3585,55.7679,68.22,82,12,5.23,few clouds
103,Port Elizabeth,ZA,-33.918,25.5701,62.1,97,100,14.97,heavy intensity rain
